trackName,artistName,external_urls,spotify_id,album,popularity,duration_ms,track_number,album_artwork,artists_involved,genre,release_date,genres
Start All Over,Miley Cyrus,https://open.spotify.com/track/3gZ8DvqnrOx3WQRAjCRSIt,3gZ8DvqnrOx3WQRAjCRSIt,Meet Miley Cyrus,42.0,207173.0,7.0,https://i.scdn.co/image/ab67616d0000b273ecefbb245706615f71036b9e,['Miley Cyrus'],,2007-06-26,['pop']
Psycho Killer,Miley Cyrus,https://open.spotify.com/track/0jeKnrCAOZRMf7w9hdVHUe,0jeKnrCAOZRMf7w9hdVHUe,Psycho Killer,50.0,224826.0,1.0,https://i.scdn.co/image/ab67616d0000b27338ffe7057042b58e111cf8bb,['Miley Cyrus'],,2024-05-17,['pop']
Hoedown Throwdown,Miley Cyrus,https://open.spotify.com/track/6ntkwU1MhehTKgx4BWxX3f,6ntkwU1MhehTKgx4BWxX3f,Hannah Montana The Movie,55.0,181013.0,6.0,https://i.scdn.co/image/ab67616d0000b2730e8ba185f3e9f15630a7b5fb,['Miley Cyrus'],,2009-01-01,['pop']
Prisoner (feat. Dua Lipa),Miley Cyrus,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B,2Oycxb8QbPkpHTo8ZrmG0B,Plastic Hearts,70.0,169333.0,4.0,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142,"['Miley Cyrus', 'Dua Lipa']",,2020-11-27,"['dance pop', 'pop', 'uk pop']"
Rightfully (TV Animation Goblin Slayer opening),Mili,https://open.spotify.com/track/73tTDsjutmpFg31yIEvx8B,73tTDsjutmpFg31yIEvx8B,Rightfully (TV Animation Goblin Slayer opening),50.0,213333.0,1.0,https://i.scdn.co/image/ab67616d0000b273900a123712c319f43676f454,['Mili'],,2018-11-18,['otacore']
"Hey, Doctor Doctor",Milk In The Microwave,https://open.spotify.com/track/4FzypLgWDT1D8gCQeKqaMI,4FzypLgWDT1D8gCQeKqaMI,Hello Kitty Scrapbook,53.0,66318.0,2.0,https://i.scdn.co/image/ab67616d0000b273610017ca46b36bbe47f3c73d,['Milk In The Microwave'],,2023-09-15,['sillycore']
Spacedust Twinkle Dinkle,Milk In The Microwave,https://open.spotify.com/track/7qPkZXhEJNKUGH27YqUsPJ,7qPkZXhEJNKUGH27YqUsPJ,Count! Your! Stars!,29.0,130821.0,6.0,https://i.scdn.co/image/ab67616d0000b2735c6b28900a076f6616db71dc,['Milk In The Microwave'],,2023-02-22,['sillycore']
booger bonanza,Milk In The Microwave,https://open.spotify.com/track/5DD8ZmHMPI1ExOQKQhqkMy,5DD8ZmHMPI1ExOQKQhqkMy,booger bonanza,42.0,81178.0,1.0,https://i.scdn.co/image/ab67616d0000b273bbdd2486d5c9144073300ac9,['Milk In The Microwave'],,2022-12-15,['sillycore']
Freezing,Mimi Webb,https://open.spotify.com/track/7reh67rES37v1n9grDX6HO,7reh67rES37v1n9grDX6HO,Amelia,48.0,176989.0,6.0,https://i.scdn.co/image/ab67616d0000b273c669a1100d8cd137a2151fdc,['Mimi Webb'],,2023-03-02,"['alt z', 'gen z singer-songwriter', 'uk pop']"
House On Fire,Mimi Webb,https://open.spotify.com/track/0Le4FRrPfbFzpyy8SsaCLf,0Le4FRrPfbFzpyy8SsaCLf,Amelia,53.0,139001.0,4.0,https://i.scdn.co/image/ab67616d0000b273c669a1100d8cd137a2151fdc,['Mimi Webb'],,2023-03-02,"['alt z', 'gen z singer-songwriter', 'uk pop']"
