trackName,artistName,external_urls,spotify_id,album,popularity,duration_ms,track_number,album_artwork,artists_involved,genre,release_date,genres
FourFiveSeconds,Rihanna,https://open.spotify.com/track/78TTtXnFQPzwqlbtbwqN0y,78TTtXnFQPzwqlbtbwqN0y,FourFiveSeconds,76,188238,1,https://i.scdn.co/image/ab67616d0000b27336a9ed72b45e54ff307641be,"['Rihanna', 'Kanye West', 'Paul McCartney']",,2015-01-24,"['barbadian pop', 'chicago rap', 'classic rock', 'hip hop', 'mellow gold', 'pop', 'rap', 'rock', 'soft rock', 'urban contemporary']"
Take on Me,a-ha,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L,2WfaOiMkCvy7F5fcp2zZ8L,Hunting High and Low,83,225280,1,https://i.scdn.co/image/ab67616d0000b273e8dd4db47e7177c63b0b7d53,['a-ha'],,1985-06-01,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']"
Crazy,Gnarls Barkley,https://open.spotify.com/track/6o1l9I0faXJN2iqulHrdCQ,6o1l9I0faXJN2iqulHrdCQ,St. Elsewhere,70,182066,2,https://i.scdn.co/image/ab67616d0000b273ab051a2c680f39c0d9827706,['Gnarls Barkley'],,2006-05-02,"['atl hip hop', 'neo soul']"
"Sunshine, Lollipops And Rainbows",Lesley Gore,https://open.spotify.com/track/0AZb6ryK8LsFcvY1jWHO61,0AZb6ryK8LsFcvY1jWHO61,Lesley Gore Sings Of Mixed-Up Hearts,57,96000,6,https://i.scdn.co/image/ab67616d0000b2731f88f87d7b1df743015cacac,['Lesley Gore'],,1963-11-01,"['brill building pop', 'bubblegum pop', 'classic girl group']"
Lay All Your Love On Me,ABBA,https://open.spotify.com/track/4euAGZTszWPrriggYK0HG9,4euAGZTszWPrriggYK0HG9,Super Trouper,74,274466,9,https://i.scdn.co/image/ab67616d0000b2734d08fc99eff4ed52dfce91fa,['ABBA'],,1980,"['europop', 'swedish pop']"
One More Night,Maroon 5,https://open.spotify.com/track/4XNrMwGx1SqP01sqkGTDmo,4XNrMwGx1SqP01sqkGTDmo,Overexposed (Deluxe),69,219466,1,https://i.scdn.co/image/ab67616d0000b273ce7d499847da02a9cbd1c084,['Maroon 5'],,2012-01-01,['pop']
Unwritten,Natasha Bedingfield,https://open.spotify.com/track/3U5JVgI2x4rDyHGObzJfNf,3U5JVgI2x4rDyHGObzJfNf,Unwritten,84,259333,4,https://i.scdn.co/image/ab67616d0000b273b337e1ca6629a53c66a3b0d4,['Natasha Bedingfield'],,2004-08-30,"['dance pop', 'pop', 'post-teen pop']"
This Is What You Came For,Calvin Harris,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,0azC730Exh71aQlOt9Zj3y,This Is What You Came For,76,222160,1,https://i.scdn.co/image/ab67616d0000b273d9aa52355e062f5de060adbf,"['Calvin Harris', 'Rihanna']",,2016-04-29,"['barbadian pop', 'dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance', 'urban contemporary']"
Set Fire to the Rain,Adele,https://open.spotify.com/track/73CMRj62VK8nUS4ezD2wvi,73CMRj62VK8nUS4ezD2wvi,21,77,242973,5,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300,['Adele'],,2011-01-24,"['british soul', 'pop', 'pop soul', 'uk pop']"
Girl on Fire,Alicia Keys,https://open.spotify.com/track/4esOae7i4rqTbAu9o5Pxco,4esOae7i4rqTbAu9o5Pxco,Girl on Fire (Remixes) - EP,73,224920,1,https://i.scdn.co/image/ab67616d0000b273a4fe49eb27e8152710e7a590,['Alicia Keys'],,2012-11-18,"['neo soul', 'pop', 'r&b']"
