Artist,Percentage_Listened
Dominic Fike,0.009929937039238492
Don Omar,6.097960261796818e-05
Donald,0.008818160634093408
Donald Glover,0.006581855435423053
Donna Lynne Champlin,0.37592226627706754
Donna Murphy,0.017234273241800668
Donny Osmond,0.01287057983430707
Donovan Colan,6.874696644953448e-05
Dopamine,0.00014091389160102722
Doubutsu Biscuits,0.00015082597529653347
Douglas Robb,0.022341430891858957
Dove Cameron,0.01310841187759749
Dovid Lowy,0.000786010847433126
Dovid Pearlman,0.0025559264237991343
Dr. Doofenshmirtz,0.011220478743313058
Dr. Dre,0.00011303253336980795
Dr. Luke,0.12960802982096867
Drake,0.11979558865103306
Drake Bell,0.0006911794502059436
Dream Machine,0.12960802982096867
Dreams Made,0.010697572854323809
Drew Gehling,0.00018033036477613974
Drowning Pool,0.011706692533008416
Dua Lipa,0.4070528171367541
Duane Chase,0.00025962703434018967
Duc de Japan,0.0004279585609586113
Duck Sauce,0.002099622781395479
Dunw3ll,0.0014740022005440237
Duolingo,0.00038332520162796916
Dusty Springfield,0.0003820499627899509
Dylan Playfair,0.011055161417584497
E.L.V.N,8.526710594204487e-05
EGOIST,0.00018548928552994124
ESTA.,2.5156984349998282e-05
"Earth, Wind & Fire",0.0033154470826425152
EasyPop,0.0038585828968348748
Eban Schletter,0.0004241328444445563
Eclair,0.0014042698222651113
Ed Sheeran,0.013615841004325335
Edamame Music Factory,0.0008964929031268972
Eddie Pepitone,0.006005679342245673
Eden Espinosa,0.030474150650517503
Edison Lighthouse,0.00023881745511979935
Edward Sanders,4.573470196347614e-05
Edwin Drood Original Broadway Cast,0.06459009359540677
Eiffel 65,0.010193215893887553
Eiko Shimamiya,0.25294976785352213
EileMonty,5.929860596785309e-05
Einar Selvik,0.0014131964941312399
Eir Aoi,0.02184773956534067
Ekaterina Chtchelkanova,0.02566319620328984
Elayne Boosler,0.004354476908618827
Electric Light Orchestra,0.06796246270254627
Elevated Noise,0.010085979900690555
Elijah Kelley,0.026508563622092543
Elizabeth Gillies,0.04798746933623728
Elizabeth Mitchell,0.001741106771707139
Elizabeth Molyneux,0.0034139882655802966
Ella Eyre,8.654234478006321e-05
Ella Fitzgerald,0.021740851364554045
Elle King,0.024366684062837277
Elle McLemore,0.09953337671916129
Ellie Goulding,0.16407785154340804
Ellis Miah,0.0002987536805066616
Elohim,0.00014462367731162606
Elsie Lovelock,0.00041775665025446456
Elton John,0.06345089955524427
Em Beihold,0.000218529564514962
Emdasche,0.00016149160921450509
Emily Blunt,0.010886655994760892
Emily Goldstein,0.0001466524663721098
Emily Osment,0.00024159979440274845
Emily Skeggs,0.015181138712591129
Eminem,0.6069392593209139
Emma Pfaeffle,0.013478578933033182
Emmy Rossum,0.014397214619620215
Encanto - Cast,0.025675542833857923
Endigo,0.00020455990269848832
Ensemble - Tangled,0.03674554339428482
Ensemble - The Lion King,0.011987245077372453
Ephraim Sykes,0.025231295995013715
Eric Anderson,0.017929916027939675
Eric Bradley,0.0017228476701627857
Eric Michael Roy,0.014631394842601765
Erik Lenfair,1.4781177440667192e-05
Erika Henningsen,0.3522672234512462
Erika Jayne,0.00014711618958593463
Ernie Sabella,0.017313048222749164
Erykah Badu,0.00043775471385066136
Estelle,0.10276146994139955
Ester Dean,0.0372144834942652
Esther Povitsky,0.018513685588743434
Ethan Slater,0.011327946598116968
Euaxations,0.00793662280461236
Eugene Mirman,0.2647820134466736
Eurythmics,0.02559427534063512
Evanescence,0.03705270205804206
Eve,0.0225628007610586
Every Little Thing,0.00016566511813892877
Everywhere Brown Noise,0.012636457576727246
Ez Mil,0.01361242104562338
FIELD OF VIEW,0.00039567183219605594
FINNEAS,4.816924883605662e-05
FLAVA,0.00014960870186024323
FLO,0.008731792185518528
FLOW,0.00038344113243142546
FULLJOS,0.0005267895709050332
Fabricants,0.010293843831287544
Falk Au Yeong,0.00024235334462521387
Fall Out Boy,0.04960012477771493
Falling In Reverse,0.012002547943428674
Fandroid!,9.274464276497062e-05
Far East Movement,0.02899980065756311
FarmerJohn,0.0005895081355748445
Faylan,0.05689136079948655
Fedde Le Grand,0.0025956906893846153
Feist,0.04685459352486316
Fergie,0.04364215096109149
Fifth Harmony,0.08685958942372114
Finatticz,0.00033782236127140547
Finneas O'Connell,0.0026909858098256223
FiolTune,0.03817844812500361
Fitz and The Tantrums,0.010350186201767265
Fleetwood Mac,0.01504793421941994
Flexstyle,0.03255905021987404
Flo Rida,0.1904590072125022
Florence + The Machine,0.0003646603422715189
Florian Christl,0.00021516757121473187
Flume,0.013522516707543085
Fluttershy,0.004396385894068248
Flying Fingers,0.049379160666327394
FoZZtone,0.00027695868945689354
Focus Noise,0.010896336216849486
Foster The People,0.03602248297312841
Fountains Of Wayne,0.011476338026540921
Foxes,0.011811378048529378
Fozzie,0.031413364054718014
Frances Forever,3.58226182679699e-05
Frances Ruffelle,0.023597077424093203
Franco Albertini,0.006738477950892397
Frank Ciampi,0.010279120619248606
Frank Sinatra,3.831513054227849e-05
Frankie Cosmos,8.207900884699899e-05
Frankie Valli & The Four Seasons,0.00016554918733547257
Franz Ferdinand,0.012462561371542929
Fred Armisen,0.00928431839479084
Fred Lassen,0.002855375689126533
French Montana,0.014526651361679077
Freshlyground,0.012253654063714833
Friedmann Riehle,0.00057617609317738
